model,seed,group,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
constant_prior,train_only,arm,23377,14655,8722,0.6268982333062412,0.5,0.595757113558373,0.2561306788634357,0.14911016222806844,False,,0.18496104456082757,-0.38478174943050125
constant_prior,train_only,gripper,23377,7318,16059,0.31304273431150276,0.5,0.29462176401421986,0.24218800679264404,0.16474533676666997,False,,0.14165659880837184,-0.7096839033970288
empirical_group_offset_prior_train_only,train_only,arm,23377,14655,8722,0.6268982333062412,0.7737673789053763,0.8660904541588801,0.18496104456082757,0.031375991809622736,False,,0.18496104456082757,0.0
empirical_group_offset_prior_train_only,train_only,gripper,23377,7318,16059,0.31304273431150276,0.8465138271808277,0.7196768510719636,0.14165659880837184,0.008933119904311365,False,,0.14165659880837184,0.0
independent_vector_shared_mlp,20260820,arm,23377,14655,8722,0.6268982333062412,0.8295011747295493,0.8959917634627756,0.17089032841424856,0.08266233805601744,False,,0.18496104456082757,0.0760739440025795
independent_vector_shared_mlp,20260820,gripper,23377,7318,16059,0.31304273431150276,0.9633455690626739,0.9247210981258202,0.06972226170369943,0.012486569651564748,False,,0.14165659880837184,0.5078078798290413
independent_vector_shared_mlp,20260821,arm,23377,14655,8722,0.6268982333062412,0.8299933790175645,0.8916576437979048,0.1718757309014578,0.09241186474500898,False,,0.18496104456082757,0.07074632223471489
independent_vector_shared_mlp,20260821,gripper,23377,7318,16059,0.31304273431150276,0.9645106582159347,0.924605101714083,0.06910107545370102,0.024215513647407618,False,,0.14165659880837184,0.5121930355875721
independent_vector_shared_mlp,20260822,arm,23377,14655,8722,0.6268982333062412,0.835971258536651,0.8979220409948633,0.16560243875245473,0.07665092676586927,False,,0.18496104456082757,0.10466315139135385
independent_vector_shared_mlp,20260822,gripper,23377,7318,16059,0.31304273431150276,0.9552549383141195,0.9062865482080809,0.07764467055155501,0.013332183042296416,False,,0.14165659880837184,0.45188101927683555
monotone_conditional_survival_shared_mlp,20260820,arm,23377,14655,8722,0.6268982333062412,0.8229734399481274,0.8917579352016145,0.17657869424385175,0.09659665460767225,False,,0.18496104456082757,0.045319544647246746
monotone_conditional_survival_shared_mlp,20260820,gripper,23377,7318,16059,0.31304273431150276,0.9609054688180869,0.9168056854741986,0.07456539684705904,0.02580136825010461,False,,0.14165659880837184,0.4736186137863684
monotone_conditional_survival_shared_mlp,20260821,arm,23377,14655,8722,0.6268982333062412,0.8325760159272845,0.8968938977471008,0.1683610116603958,0.07965911371233128,False,,0.18496104456082757,0.08974880597072199
monotone_conditional_survival_shared_mlp,20260821,gripper,23377,7318,16059,0.31304273431150276,0.9565001246343573,0.9126712486469681,0.07658868808277598,0.02496048868346893,False,,0.14165659880837184,0.4593355429464848
monotone_conditional_survival_shared_mlp,20260822,arm,23377,14655,8722,0.6268982333062412,0.8249500414290588,0.8907597755908233,0.17363878581786665,0.08899247492190245,False,,0.18496104456082757,0.061214288499746194
monotone_conditional_survival_shared_mlp,20260822,gripper,23377,7318,16059,0.31304273431150276,0.9567961854790006,0.9107327684003734,0.07845347739085855,0.027965692476251455,False,,0.14165659880837184,0.4461713887611568
independent_vector_shared_mlp,aggregate_mean_prediction,arm,23377,14655,8722,0.6268982333062412,0.8427330473550846,0.9030654893442216,0.1597543523942742,0.06242128605358643,False,,0.18496104456082757,0.13628108678994677
independent_vector_shared_mlp,aggregate_mean_prediction,gripper,23377,7318,16059,0.31304273431150276,0.9654522700616088,0.9274929962822576,0.06747179437276733,0.008844442767254629,False,,0.14165659880837184,0.5236946606063806
monotone_conditional_survival_shared_mlp,aggregate_mean_prediction,arm,23377,14655,8722,0.6268982333062412,0.8378582972066151,0.9009887754477249,0.16273463961371473,0.06071577977799693,False,,0.18496104456082757,0.12016803321957514
monotone_conditional_survival_shared_mlp,aggregate_mean_prediction,gripper,23377,7318,16059,0.31304273431150276,0.9643928482428342,0.924082501131426,0.06914349356983858,0.009512694454372559,False,,0.14165659880837184,0.5118935923107012
